"Rank","AvgValidacoes","Folder","LoadBalancer","Language","Framework","Database","ErrorCount","Link"
"170","16.886179","andre237","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andre237"
"171","17","ryrden","nginx","go","fiber","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ryrden"
"172","17.01626","ryan_and_sena","nginx","cpp","aspnet","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ryan_and_sena"
"173","17.056911","mgenteluci","custom","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mgenteluci"
"174","17.073171","zaqueu","nginx","c#","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/zaqueu"
"175","17.081301","tiagoguerreirodev-python","nginx","python","fastapi","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tiagoguerreirodev-python"
"176","17.178862","andresantos-tech-PHP2","nginx","php","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andresantos-tech-PHP2"
"177","17.178862","otonielsilva","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/otonielsilva"
"178","17.195122","pietrohl","haproxy","rust","axum","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/pietrohl"
"179","17.219512","mateuxlucax-quarkus","nginx","unknown","quarkus","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mateuxlucax-quarkus"
"180","17.243902","felipefrmelo-robyn","nginx","unknown","robyn","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipefrmelo-robyn"
"181","17.390244","ericlessa","nginx","Quarkus","unknown","Postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ericlessa"
"182","17.414634","rmac737","custom",".NET","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rmac737"
"183","17.414634","gmrms","nginx","kotlin","unknown","mongodb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gmrms"
"184","17.577236","santannaf_web","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/santannaf_web"
"185","17.650407","renant","","","","","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renant"
"186","17.853659","vineboneto-go","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vineboneto-go"
"187","18","gasparbarancelli","custom","Quarkus","unknown","Postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli"
"188","18.01626","omurilo","nginx","go","unknown","mongodb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/omurilo"
"189","18.04065","marcoagpegoraro","nginx","vlang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcoagpegoraro"
"190","18.065041","gustavoramos00","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gustavoramos00"
"191","18.097561","lsfratel-python","custom","python","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lsfratel-python"
"192","18.154472","felipefrmelo-uvicorn","nginx","unknown","uvicorn","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipefrmelo-uvicorn"
"193","18.186992","vitorsalgado-custom-lb-db-conf","envoy","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitorsalgado-custom-lb-db-conf"
"194","18.211382","ogabriel-elixir","nginx","elixir","phoenix","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ogabriel-elixir"
"195","18.292683","brunocamarggo","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/brunocamarggo"
"196","18.569106","lucasmro","nginx","java","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lucasmro"
"197","18.593496","vitorsalgado-custom-lb","custom","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitorsalgado-custom-lb"
"198","18.617886","hiroshimorowaka-golang","nginx","Golang","Gin-Gonic","Postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/hiroshimorowaka-golang"
"199","18.626016","wdmatheus","nginx",".NET","unknown","Postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/wdmatheus"
"200","18.634146","gustavoramos00-spring-trsfree","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gustavoramos00-spring-trsfree"
"201","18.715447","gicornachini","nginx","python","aiohttp","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gicornachini"
"202","18.796748","krymancer","","","","","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/krymancer"
"203","18.804878","italopussi","nginx","python","flask","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/italopussi"
"204","18.861789","srlucasromulo-not_so_fast_api","nginx","unknown","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/srlucasromulo-not_so_fast_api"
"205","18.861789","gldmelo-py-fastapi","nginx","C#","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gldmelo-py-fastapi"
