"Rank","AvgTotal","Folder","AvgCredito","AvgDebito","AvgExtrato","AvgValidacoes","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"98","1.147879","enohr","1.153172","1.11054","1.143011","12.406504","nginx","Go","unknown","PostgreSQL","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/enohr"
"99","1.157521","renant","1.224018","1.064044","1.35","17.650407","","","","","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renant"
"100","1.160106","juniorleaoo-lbk","1.073162","1.05885","1.464516","43.243902","custom","kotlin","http4k","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/juniorleaoo-lbk"
"101","1.165699","hlscalon-go","1.200806","1.101437","1.393011","12.780488","custom","go","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/hlscalon-go"
"102","1.168138","phaguiar-net","1.209819","1.097352","1.410753","13.593496","nginx","unknown","aspnet","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/phaguiar-net"
"103","1.172366","0000-golang","1.110272","1.047403","3","23.853659","nginx","GO","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/0000-golang"
"104","1.173244","alan_albuquerque","1.20136","1.11349","1.334946","13.455285","nginx",".NET","unknown","Postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alan_albuquerque"
"105","1.173536","rodrigo-brito","1.093152","1.020298","4.573118","12.154472","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodrigo-brito"
"106","1.173683","abraaolevi","1.203374","1.101462","1.437097","15.682927","nginx","Go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/abraaolevi"
"107","1.178008","rhsobr-go","1.204381","1.101538","1.526344","16.308943","nginx","golang","gin","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rhsobr-go"
